Fine modulus (m2/kg),Specific gravity,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Na2O (l),Sio2 (l),H2O,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Cube D (mm),f_c 28d (MPA)
0.0,0.0,0.0,0.235479782,0.176309969,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,2.123685195,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,31.0011
0.0,0.0,0.0,-0.212581591,-0.053010376,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,1.517265601,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,32.7006
0.0,0.0,0.0,-0.651109742,-0.282330722,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,0.897335469,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,42.6055
0.0,0.0,0.0,-0.651109742,-0.282330722,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,0.897335469,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,37.136
0.0,0.0,0.0,-0.651109742,-0.282330722,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,0.897335469,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,35.6808
0.0,0.0,0.0,0.473810299,0.302066287,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,1.517265601,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,36.2842
0.0,0.0,0.0,-0.651109742,-0.282330722,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,1.09050065,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,30.1053
0.0,0.0,0.0,-0.651109742,-0.282330722,0.0,0.0,0.0,-1.661899387,-0.08607823,0.96712812,-0.794658949,0.768558681,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,41.8947
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.895598131,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,66.259
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.932467101,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,67.3861
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.993380286,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,53.2493
0.0,0.0,0.0,1.312733719,-0.56343308,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.895598131,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,40.6474
0.0,0.0,0.0,1.312733719,-0.56343308,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.932467101,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,34.2926
0.0,0.0,0.0,1.312733719,-0.56343308,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.993380286,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,18.717
0.0,0.0,0.0,1.493864912,-0.726176551,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.895598131,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,44.1007
0.0,0.0,0.0,1.493864912,-0.726176551,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.932467101,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,38.3213
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.993380286,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,6.0551
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.895598131,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,57.2846
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.895598131,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,66.9997
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.895598131,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,52.1414
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.932467101,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,52.6417
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.932467101,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,68.4283
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.932467101,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,52.8557
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.993380286,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,44.4303
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.993380286,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,53.7883
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.993380286,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,35.0014
0.0,0.0,0.0,0.159214016,0.109733095,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.932467101,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,46.5007
0.0,0.0,0.0,-0.136315825,-0.038215515,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.932467101,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,66.9274
0.0,0.0,0.0,0.960004554,-0.644804816,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.932467101,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,37.5029
