IDX,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,Fine modulus (m2/kg),Specific gravity,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Na2O (l),Sio2 (l),H2O,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Cube D (mm),f_c 28d (MPA)
1302,1.82500168955549,0.831149934540734,-0.691589148699124,-1.03185472311782,-0.921334500633302,0,0,-0.715537926738203,-1.14471016481697,0,0,0,-1.03115305208858,0,0,0,0.550076064284742,0,0,0,0,0.480251991655788,-0.231103036787147,-0.176670861882822,-0.794658949120436,-1.53615507381834,-0.222346363503612,0.284599778870503,0,-0.33824966007582,1.02509842687067,19.33
1303,0.872426825838567,0.377302537627553,-0.80895405219321,-0.283748715320524,-0.35475095821748,0,0,-0.336694810615134,-1.35499856981153,0,0,0,-0.726992813753467,0,0,0,-0.41516253020271,-0.909262956001377,0,0,0,0.480251991655788,-0.231103036787147,-0.176670861882822,-0.794658949120436,-1.59867355803626,-0.222346363503612,0.284599778870503,0,-0.33824966007582,1.02509842687067,41.04
1304,0.390242958296117,0.147565849781333,-0.868361803498827,0.0949122640683485,-0.0679705980768323,0,0,-0.144940313684325,-1.46144151349806,0,0,0,-0.572479412679231,0,0,0,-0.90374009037537,-0.530144643157848,0,0,0,0.480251991655788,-0.231103036787147,-0.176670861882822,-0.794658949120436,-1.66119204225419,-0.222346363503612,0.284599778870503,0,-0.33824966007582,1.02509842687067,43.24
1305,-1.03272290159529,-0.530392256198809,-1.04368385918138,1.21246330027406,0.778416126614166,0,0,0.420991421631004,-1.77557537980067,0,0,0,-0.118672337083244,0,0,0,-2.34563971917761,0.588716719136469,0,0,0,0.480251991655788,-0.231103036787147,-0.176670861882822,-0.794658949120436,-1.72371052647212,-0.222346363503612,0.284599778870503,0,-0.33824966007582,1.02509842687067,50.47
1306,-1.98529776531221,-0.98423965311199,-1.16104876267547,1.96056930807135,1.34499966902999,0,0,0.799834537754073,0,0,0,0,0.185487901251867,0,0,0,0,1.33770655670539,0,0,0,0.480251991655788,-0.231103036787147,-0.176670861882822,-0.794658949120436,-1.78622901069005,-0.222346363503612,0.284599778870503,0,-0.33824966007582,1.02509842687067,53.11
1315,0.208972998208345,0.726178427771699,-0.372916231927101,-0.638585137178977,0.143333710331145,0.0403147159859771,3.77740096808944,0.937595670889735,-0.0343873864456473,0,0,0,0,0,0,0,-0.641576521502235,0,0,0,0,-1.69902506115942,-0.869212184551342,1.63995104989412,-0.794658949120436,-0.056662377469988,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,25.4
1316,0.208972998208345,0.726178427771699,-0.372916231927101,-0.638585137178977,0.143333710331145,0.0403147159859771,3.77740096808944,0.937595670889735,-0.0343873864456473,0,0,0,0,0,0,0,-0.641576521502235,0,0,0,0,-1.69902506115942,-0.869212184551342,1.63995104989412,-0.794658949120436,-0.056662377469988,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,24.4
1317,0.208972998208345,0.726178427771699,-0.372916231927101,-0.638585137178977,0.143333710331145,0.0403147159859771,3.77740096808944,0.937595670889735,-0.0343873864456473,0,0,0,0,0,0,0,-0.641576521502235,0,0,0,0,-1.69902506115942,-0.869212184551342,1.63995104989412,-0.794658949120436,-0.056662377469988,-0.222346363503612,1.05953936314972,0,-0.33824966007582,-0.568451427252854,43.3
1318,0.208972998208345,0.726178427771699,-0.372916231927101,-0.638585137178977,0.143333710331145,0.0403147159859771,3.77740096808944,0.937595670889735,-0.0343873864456473,0,0,0,0,0,0,0,-0.641576521502235,0,0,0,0,-1.69902506115942,-0.869212184551342,1.63995104989412,-0.794658949120436,-0.056662377469988,-0.222346363503612,1.05953936314972,0,-0.33824966007582,-0.568451427252854,49.1
1319,0.208972998208345,0.726178427771699,-0.372916231927101,-0.638585137178977,0.143333710331145,0.0403147159859771,3.77740096808944,0.937595670889735,-0.0343873864456473,0,0,0,0,0,0,0,-0.641576521502235,0,0,0,0,-1.69902506115942,-0.869212184551342,1.63995104989412,-0.794658949120436,-0.056662377469988,-0.222346363503612,1.05953936314972,0,-0.33824966007582,-0.568451427252854,48.1
